"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"INDUSINDBK",1005,1034,998.2,997.7,1027,2.94,7609448,7800521239.28,"17-Aug-2021"
"ADANIPORTS",692.95,719.9,691.45,693.55,710,2.37,17504802,12442938405.66,"24-Jun-2021"
"IOC",103.95,106.25,103.8,103.95,106,1.97,9202543,972708795.1,"05-Aug-2021"
"TECHM",1252,1273,1243.05,1248.2,1268,1.59,3894726,4916741049.66,"23-Jul-2021"
"TATACONSUM",773,798.35,772,768.35,780,1.52,7849735,6153328769.15,"10-Jun-2021"
"BHARTIARTL",594.5,616.95,588.5,598.7,607.55,1.48,28520160,17331416030.4,"06-Aug-2020"
"SBILIFE",1140,1154.25,1127.45,1134.75,1151.25,1.45,1654283,1890630412.21,"05-Apr-2021"
"NTPC",116.5,118.7,116.45,116.5,117.85,1.16,8434733,993864589.39,"11-Feb-2021"
"MARUTI",7054.8,7168.5,7042.55,7027.55,7108,1.14,517575,3684072971.25,"05-Aug-2021"
"BAJAJ-AUTO",3833,3872.35,3797.25,3818.75,3850.05,0.82,504011,1932856984.45,"08-Jul-2021"
"TCS",3272.55,3324,3265,3283.95,3311,0.82,2292362,7563304564.7,"15-Jul-2021"
"COALINDIA",145.6,148.45,145.25,145.45,146.55,0.76,10812438,1584779037.66,"15-Mar-2021"
"HINDUNILVR",2357.7,2380.75,2357.5,2357.7,2372.65,0.63,1432661,3395836368.3,"14-Jun-2021"
"HEROMOTOCO",2830,2851.05,2811.7,2818.8,2836.2,0.62,445529,1262780665.86,"22-Jul-2021"
"BPCL",454,463,454,453.5,456.3,0.62,4059302,1860215734.52,"25-Mar-2021"
"HDFCBANK",1483.55,1500,1474,1484.85,1493.7,0.6,6669635,9940757485.75,"29-Jun-2021"
"HDFCLIFE",670.05,675.5,669,669.5,673.5,0.6,1749643,1175532642.41,"30-Jun-2021"
"KOTAKBANK",1769,1784.7,1756.15,1771.75,1779.3,0.43,3640469,6468603747.34,"11-Aug-2021"
"EICHERMOT",2734.7,2759.35,2734.7,2732.15,2742,0.36,799082,2196029161.58,"09-Aug-2021"
"TATAMOTORS",300.05,303.4,297.65,299.7,300.2,0.17,16001898,4815931222.08,"18-Jul-2016"